id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2031-10-20;11913;1186;113;737217;1368;20.72;562;18.45;739317;1768;18825.28
3;2031-10-21;6001;1708;73;1128855;1820;95.22;2027;17.84;696592;2559;22241.06
3;2031-10-22;10526;909;122;3877365;2916;13.58;9541;89.69;467074;4052;11717.49
3;2031-10-23;8288;1899;217;370272;2913;86.58;6150;48.83;804158;4645;15624.7
3;2031-10-24;7052;1238;101;1854132;2909;21.32;6150;66.66;198539;4667;24665.84
3;2031-10-25;10421;809;151;1380089;1872;16.72;34;14.77;80917;4542;11541.79
3;2031-10-26;4383;1741;85;1217409;1236;44.72;8392;19.93;848759;1777;19873.93
3;2031-10-27;8044;1931;97;1784006;2700;80.25;6925;58.66;414442;4318;20380.46
3;2031-10-28;10844;943;145;3656282;2884;39.08;7393;1.52;931971;2156;25901.4
3;2031-10-29;8240;1111;92;2246052;2943;5.18;4857;67.72;630436;2027;17157.36
3;2031-10-30;10663;1484;168;2955609;2191;50.44;4020;9.71;100113;4880;12089.47
3;2031-10-31;7707;1133;70;2910506;2561;19.38;8969;59.42;647341;2676;23159.87
3;2031-11-01;8744;1443;196;150306;2907;12.31;2138;27.28;292529;4767;12769.69
3;2031-11-02;8199;1406;187;3258881;1901;71.96;7330;80.0;201976;1019;11947.07
