id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2060-03-29;10001;1899;88;2544594;2621;23.11;896;89.26;452851;1603;21165.17
3;2060-03-30;5695;1577;212;911873;2272;53.37;920;12.22;420705;2302;19433.4
3;2060-03-31;6679;1240;90;2834834;2605;10.52;6962;80.6;940956;4669;22334.7
3;2060-04-01;10372;1111;247;1326779;2571;90.44;8428;36.38;736903;1833;22294.54
3;2060-04-02;4795;840;124;2471682;1362;16.82;9393;18.13;271157;1114;16736.45
3;2060-04-03;4587;975;91;3170731;1481;45.22;3318;40.42;479665;2901;11405.6
3;2060-04-04;8426;1865;164;3709630;1149;42.96;8405;62.86;447885;1229;14285.41
3;2060-04-05;4705;1290;192;1942182;2801;99.44;4679;53.43;607270;1928;12871.64
3;2060-04-06;6053;1109;236;3161737;1147;95.33;8971;54.5;467259;4296;15973.77
3;2060-04-07;10367;1096;106;1958762;2105;56.73;53;93.33;654039;2998;13139.26
3;2060-04-08;10670;1553;124;1470828;2283;72.99;822;1.53;250914;3978;25545.46
3;2060-04-09;5099;1340;74;3716299;2565;63.77;3986;39.6;338442;3674;23740.59
3;2060-04-10;6058;890;76;680630;2668;48.0;6862;16.83;938403;1024;24635.54
3;2060-04-11;8576;1521;106;3099344;2626;84.43;7317;22.58;220585;3528;21772.04
