id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2047-03-18;10679;1147;81;1623705;1190;15.15;7132;5.96;988678;3898;21838.39
3;2047-03-19;7821;1864;70;2946892;2950;28.02;3225;35.17;686308;3755;12941.21
3;2047-03-20;5484;1879;225;1263014;1157;85.21;857;88.39;232878;1820;22735.25
3;2047-03-21;9336;1442;100;1540561;2963;72.04;724;65.6;542887;3405;17526.6
3;2047-03-22;9626;954;148;2367450;2070;8.22;5407;42.34;772712;2578;14703.76
3;2047-03-23;11552;1009;161;3970617;1625;94.31;3507;18.9;550950;4476;11505.1
3;2047-03-24;7471;806;116;1570091;2289;46.76;7962;42.36;371643;1379;22850.58
3;2047-03-25;4482;1610;103;513068;1617;18.67;1153;99.11;628186;2594;11285.67
3;2047-03-26;5988;1973;88;2171840;1815;1.41;2298;9.58;800142;4959;13912.86
3;2047-03-27;7821;1743;157;1759573;2183;86.89;2279;21.1;154069;2494;21289.99
3;2047-03-28;11187;1592;77;538567;1989;57.65;9991;24.42;123863;2549;18377.53
3;2047-03-29;8503;1042;167;2651360;1557;24.53;8335;51.86;382030;3339;14040.42
3;2047-03-30;4124;1783;135;688346;2235;35.02;7529;37.37;644976;3371;17504.04
3;2047-03-31;6279;1925;204;2419246;2173;70.43;5967;6.59;555335;3043;21893.81
