id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2044-04-18;11578;1206;106;2341083;1280;75.24;2416;26.42;447663;1018;21575.51
3;2044-04-19;11060;1518;213;1833791;2320;23.53;5814;12.03;211298;1494;15437.28
3;2044-04-20;5882;938;90;1021128;1528;28.37;4407;1.94;599066;1813;12490.61
3;2044-04-21;9496;1216;75;2888367;2955;68.25;9067;73.17;666421;1561;22111.56
3;2044-04-22;9687;1621;202;2542663;2319;70.18;5035;29.98;889056;4469;13791.84
3;2044-04-23;5803;975;246;891953;2207;20.47;1217;14.54;68438;2860;25237.53
3;2044-04-24;9753;1401;178;2642915;2450;29.66;6144;62.16;867843;1117;16392.9
3;2044-04-25;10202;1437;101;488419;1595;55.92;4258;4.12;261155;4803;23213.21
3;2044-04-26;8224;801;245;3629313;1782;93.23;5271;76.18;57112;2233;22494.33
3;2044-04-27;7499;819;90;636603;2016;7.1;7300;47.37;276830;4671;25369.51
3;2044-04-28;8081;988;201;557831;2027;81.05;5544;53.32;568928;3842;15689.74
3;2044-04-29;9581;1285;165;306259;1465;37.51;8094;13.22;743494;4491;15413.15
3;2044-04-30;4323;1243;94;2873407;2690;16.79;1531;94.77;786099;1100;21938.13
3;2044-05-01;5108;1167;180;3343590;2197;70.03;5507;29.13;921639;4622;24394.64
