id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2030-08-26;11168;1896;238;2088585;2523;23.67;1919;91.74;489295;3199;14836.61
3;2030-08-27;10150;1306;224;3163051;1968;97.41;345;79.89;854420;1709;21947.18
3;2030-08-28;9785;810;178;3251848;1184;56.37;1823;7.43;364214;1049;14650.93
3;2030-08-29;4523;1511;117;3042855;1331;24.38;9575;20.16;198040;1517;20623.68
3;2030-08-30;7839;1527;229;3271926;1413;88.54;5480;90.24;738531;3933;14508.34
3;2030-08-31;8271;1882;203;2801072;1053;88.06;2086;37.81;882576;3987;22877.38
3;2030-09-01;10556;1674;174;3602213;2733;28.82;1962;94.04;613628;4307;13456.61
3;2030-09-02;6349;1634;164;1273487;2817;68.02;2136;41.88;901388;3519;24396.62
3;2030-09-03;5710;1754;223;2239931;2703;74.35;1338;40.35;665724;4749;24634.74
3;2030-09-04;7501;1315;86;2085065;1366;37.27;6460;19.2;779226;2759;24262.96
3;2030-09-05;7135;1572;193;1646534;2452;69.2;1353;29.65;589822;4940;19381.84
3;2030-09-06;9512;1255;237;1522757;2760;3.49;499;44.8;987365;4486;24885.63
3;2030-09-07;10760;844;226;1991028;1713;5.22;9615;6.34;679686;3802;17270.36
3;2030-09-08;7657;1213;81;1430723;1236;69.57;1119;87.4;263916;3069;12529.77
