id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2057-07-09;5762;1324;135;516266;2556;97.77;370;99.84;792174;1563;25719.43
3;2057-07-10;10169;1060;226;1372412;1463;49.08;1267;99.91;547954;4646;15136.0
3;2057-07-11;11571;1902;169;2011360;2415;71.53;2969;84.71;551751;3592;16020.94
3;2057-07-12;11818;1456;247;3790439;2354;32.13;4287;74.19;384356;3225;20575.34
3;2057-07-13;11662;1709;130;2447593;2472;70.54;7113;1.52;105550;1610;17559.79
3;2057-07-14;9177;1648;93;3346655;1541;46.5;3930;88.93;76395;4914;21581.7
3;2057-07-15;11568;1537;215;785480;2351;35.49;6516;31.21;395251;1410;17956.69
3;2057-07-16;8635;1312;80;1656222;1831;46.86;9594;37.04;560782;2153;13839.8
3;2057-07-17;10168;1878;195;3631755;1849;69.42;4396;82.74;475484;2394;23584.17
3;2057-07-18;4368;1319;195;2682905;1649;94.08;7082;64.26;291202;2795;19674.26
3;2057-07-19;9565;1147;241;3332942;1000;23.62;7532;90.56;113406;2882;22974.03
3;2057-07-20;4935;1498;90;2429812;2762;98.36;1538;39.38;365445;4503;15397.61
3;2057-07-21;8576;1044;240;228987;2049;25.37;3203;59.35;331031;3006;17582.42
3;2057-07-22;7094;1965;152;886917;1436;91.45;1617;35.79;89766;3132;24501.37
