id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2035-05-28;7933;1593;177;1586910;1599;20.34;1086;46.52;619498;2280;24824.61
3;2035-05-29;8459;895;147;1065525;2656;67.76;7499;44.44;582922;2717;19979.84
3;2035-05-30;7893;1134;81;3063961;2108;39.12;9350;21.56;932919;1387;21393.54
3;2035-05-31;11661;1297;150;1286308;1192;46.39;4607;16.28;255788;3679;23613.39
3;2035-06-01;7389;1708;209;1816743;1533;21.08;4990;25.09;94159;3658;11492.98
3;2035-06-02;11564;1220;115;3456441;1835;69.65;9857;38.77;535718;3951;12232.6
3;2035-06-03;7761;1770;89;3770646;1698;0.15;9761;54.35;811338;2961;14551.72
3;2035-06-04;5750;1295;215;3916271;2809;60.75;4438;40.88;829283;1369;20751.48
3;2035-06-05;10990;1955;249;2722513;1837;38.93;2896;51.08;955942;3743;20009.52
3;2035-06-06;4510;1117;116;3513239;1494;68.51;2393;74.95;462369;2833;24430.84
3;2035-06-07;9204;1008;117;2786938;2497;41.0;7480;15.03;740445;4293;14340.49
3;2035-06-08;8168;1453;175;3159784;2572;38.78;1167;10.68;527116;2176;23320.71
3;2035-06-09;9392;937;74;640156;2990;14.96;1790;31.86;835212;2500;18188.01
3;2035-06-10;5104;1312;191;2052513;1888;75.66;2537;81.67;396380;4215;24353.11
