id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2046-05-28;8268;1607;207;3566240;1551;24.03;7156;99.16;791588;3822;19622.89
3;2046-05-29;5456;1350;213;891118;2894;55.97;674;87.42;278543;4273;20667.98
3;2046-05-30;5519;1025;101;407625;2390;34.82;7437;36.83;998798;2564;12598.88
3;2046-05-31;6807;1771;173;3375849;1488;95.47;6712;4.12;328013;1629;20311.01
3;2046-06-01;9206;1058;197;2290201;1002;23.53;87;1.99;97678;4102;20044.77
3;2046-06-02;5461;1437;227;263840;2874;64.93;2109;52.06;676482;4635;18620.68
3;2046-06-03;10854;827;85;185691;2531;52.2;9278;6.54;473729;3872;25133.21
3;2046-06-04;7696;1347;165;3102178;1315;74.29;4260;48.73;951130;1955;17756.72
3;2046-06-05;4288;1457;192;3405163;2621;56.14;6997;34.56;437469;4099;25046.41
3;2046-06-06;6267;1146;174;3463533;2705;84.18;9586;16.48;832617;3359;22879.14
3;2046-06-07;10194;1184;193;2791381;1555;75.71;4868;54.21;843050;2902;17531.72
3;2046-06-08;7320;1920;161;3266907;2834;91.02;6196;75.67;476182;4405;16684.26
3;2046-06-09;11165;1454;154;484619;1056;26.78;3613;80.5;469732;1676;17389.76
3;2046-06-10;4079;1502;148;914245;2996;49.92;6536;62.8;560262;4977;17183.58
