id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2060-09-27;9750;962;190;2189087;2439;89.18;2689;4.64;809501;2912;21707.84
3;2060-09-28;8909;993;158;2463118;1894;26.99;4304;10.44;677726;3053;21251.52
3;2060-09-29;9149;1048;81;3451743;1459;82.2;9270;8.52;994881;1915;11198.29
3;2060-09-30;9262;816;127;2658888;2336;21.77;1963;36.22;481123;2838;22956.86
3;2060-10-01;7005;1564;124;460156;1102;58.51;9762;59.48;194998;3399;11550.33
3;2060-10-02;7462;1783;209;345250;2851;76.29;1249;12.83;470317;2762;24445.78
3;2060-10-03;11886;834;111;2752662;2193;71.63;6465;96.02;338160;3937;15499.63
3;2060-10-04;10647;1381;89;3257870;2012;5.4;8502;36.13;205114;4387;11227.6
3;2060-10-05;10422;1200;213;1175046;2636;30.25;7321;65.24;899303;3914;17974.46
3;2060-10-06;9739;1267;75;2950455;1069;81.61;2330;66.08;111769;1302;25090.27
3;2060-10-07;7181;1782;166;2135706;2923;79.93;4135;32.18;627601;4090;23834.95
3;2060-10-08;8441;1675;84;939198;2991;38.96;2014;18.66;711150;1945;16503.03
3;2060-10-09;6498;1639;226;2980224;2262;17.45;3397;56.49;941927;1794;21469.52
3;2060-10-10;7526;967;71;3521275;2437;82.25;9257;41.28;812146;1304;25375.69
