id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2057-11-12;6621;1658;84;144594;2117;80.29;2452;54.63;226056;1488;18266.13
3;2057-11-13;4946;1795;218;256730;2540;28.35;9947;17.77;732228;1775;24773.39
3;2057-11-14;6745;1685;93;2746864;1266;34.36;7103;72.52;875039;1709;21331.14
3;2057-11-15;9089;1716;233;1141734;1846;21.32;1922;70.08;994585;2561;18000.86
3;2057-11-16;7106;1352;245;1342436;2184;66.98;3073;59.79;882666;4986;25214.62
3;2057-11-17;10894;1821;183;3634020;2479;25.41;2454;0.1;874414;1424;13473.29
3;2057-11-18;9545;1749;190;309537;2876;61.21;4183;0.69;58630;3191;18969.51
3;2057-11-19;6231;944;173;240931;1796;15.29;2105;59.66;506038;4669;11725.86
3;2057-11-20;5516;1269;145;2820458;2288;99.06;6124;3.32;585451;2471;21438.54
3;2057-11-21;10912;1255;247;3225309;2199;53.23;8891;87.75;721516;2267;11579.08
3;2057-11-22;8276;1001;239;2576233;1181;7.4;5113;15.16;479003;3151;15897.37
3;2057-11-23;11217;1034;120;2396877;1100;1.47;6652;10.23;833929;4902;22571.43
3;2057-11-24;10287;1144;147;2871476;2966;42.97;5302;51.29;206341;4118;21478.2
3;2057-11-25;7132;1353;227;2433278;2875;82.47;7554;97.07;967047;2184;19066.38
