id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2052-04-08;6984;1241;111;538117;2445;53.64;6566;43.64;123288;4598;24644.78
3;2052-04-09;5199;812;175;2366812;1926;38.6;8460;12.66;611160;1270;17569.01
3;2052-04-10;8391;945;205;683629;2656;98.08;4246;16.14;331256;4209;16777.28
3;2052-04-11;10019;1776;173;298938;1099;35.46;6858;75.11;153386;1241;13917.14
3;2052-04-12;7219;1415;70;3442118;2118;19.72;5090;20.74;523561;3873;23215.76
3;2052-04-13;6460;1494;223;269159;2040;47.83;9632;77.93;669072;2011;21194.24
3;2052-04-14;6801;1396;85;1197875;2143;65.18;3576;10.84;99144;4817;23392.25
3;2052-04-15;10558;1926;180;3846918;2960;72.41;2338;41.15;437056;3368;20449.0
3;2052-04-16;7581;1509;115;2698512;2178;5.53;2920;11.44;833980;1809;22180.02
3;2052-04-17;4381;1724;220;1573539;1965;98.07;1401;99.84;241998;2961;25884.87
3;2052-04-18;6098;1439;154;602106;2664;89.14;7902;12.12;224738;4276;16651.1
3;2052-04-19;8553;1087;106;455479;1560;74.03;1152;53.43;736267;3481;14952.37
3;2052-04-20;10004;1981;162;1053933;1655;42.87;7017;54.3;273288;4699;16924.69
3;2052-04-21;8410;1224;172;2792120;1251;43.87;5874;28.07;940789;2702;22813.51
