id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2041-05-06;11714;1450;143;821567;2386;95.08;4574;22.8;82658;4507;22216.83
3;2041-05-07;5152;1566;149;100939;1381;13.82;1418;44.35;614550;3404;25406.09
3;2041-05-08;8447;1889;187;1899094;2119;69.91;9497;64.97;317142;4153;21402.89
3;2041-05-09;9916;1525;123;760426;2331;1.29;9075;96.66;56570;4226;15078.8
3;2041-05-10;9608;1730;206;1373976;2835;28.59;3192;57.14;763054;4693;24794.4
3;2041-05-11;7862;1334;231;2117066;2555;77.29;3142;24.4;250629;1290;12716.54
3;2041-05-12;4008;1847;96;3602638;1796;2.78;8727;85.34;36472;4306;12289.01
3;2041-05-13;5669;938;193;455830;2252;32.98;8278;43.15;247686;4859;18603.64
3;2041-05-14;6357;1180;120;1658448;1214;100.0;2207;80.5;526463;2745;23524.39
3;2041-05-15;8637;911;151;2655209;2919;56.48;795;88.64;681154;4410;23535.67
3;2041-05-16;10202;1205;137;1040148;2813;58.42;606;47.26;910322;4783;17954.82
3;2041-05-17;6804;848;73;2569591;2110;51.65;623;97.69;134774;4614;19185.22
3;2041-05-18;10486;1036;249;3342821;2433;9.95;9978;24.4;979837;4702;16913.27
3;2041-05-19;5427;1568;97;3688454;2932;16.09;7071;68.45;836971;1142;19003.1
