id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2057-12-24;6475;1245;206;3779280;1304;7.07;764;22.76;790336;4157;12203.07
3;2057-12-25;5982;821;174;1312302;2021;24.09;9848;72.55;884982;4695;11506.69
3;2057-12-26;9901;1032;231;1466347;1479;4.55;9799;38.46;788210;1444;17802.78
3;2057-12-27;7086;1309;168;1182452;1970;28.5;4286;79.71;969443;4605;13071.96
3;2057-12-28;4949;1409;233;3404074;2789;67.3;9780;12.81;728516;1584;17973.74
3;2057-12-29;6365;1261;153;1427875;1419;7.61;7057;97.92;660005;1840;22189.7
3;2057-12-30;5859;930;116;1001789;1259;72.69;8676;50.4;901770;3405;22793.66
3;2057-12-31;4917;871;125;3863734;2197;97.48;7800;21.21;121741;1474;24695.41
3;2058-01-01;8551;1803;236;1193053;1550;79.9;3576;50.06;917805;1789;19647.07
3;2058-01-02;4631;1981;162;3801715;2591;32.37;668;9.41;734854;2574;24498.61
3;2058-01-03;6735;1042;211;2031116;1204;59.83;7910;56.41;205403;1186;19177.84
3;2058-01-04;6956;1294;235;2596428;2535;62.09;8950;91.0;457603;3953;14798.69
3;2058-01-05;6968;1385;235;2576831;1694;78.72;604;82.75;672452;1937;25403.47
3;2058-01-06;5164;1410;211;2795420;2064;74.96;7388;78.9;53796;1324;12024.16
